Rank,grid_id,ATP_Score,Crime_T1,Crime_T2,Best_Neighbor_Rank,Target_Period,Is_Highlighted
1449,2688,0.0,0,0,646,202302,False
1450,2689,0.0,0,0,97,202302,False
1451,2691,0.0,0,0,34,202302,False
1452,2699,0.0,0,0,592,202302,False
1453,2700,0.0,0,0,176,202302,False
1454,2701,0.0,0,0,230,202302,False
1455,2702,0.0,0,0,17,202302,False
1456,2705,0.0,0,0,575,202302,False
1457,2708,0.0,0,0,175,202302,False
1458,2713,0.0,0,0,366,202302,False
1459,2714,0.0,0,0,409,202302,False
1460,2715,0.0,0,0,85,202302,False
1461,2716,0.0,0,0,197,202302,False
1462,2717,0.0,0,0,14,202302,False
1463,2718,0.0,0,0,16,202302,False
1464,2720,0.0,0,0,702,202302,False
1465,2722,0.0,0,0,375,202302,False
1466,2723,0.0,0,0,115,202302,False
1467,2724,0.0,0,0,551,202302,False
1468,2726,0.0,0,0,536,202302,False
1469,2728,0.0,0,0,82,202302,False
1470,2732,0.0,0,0,255,202302,False
1471,2734,0.0,0,0,80,202302,False
1472,2736,0.0,0,1,126,202302,False
1473,2737,0.0,0,0,344,202302,False
1474,2741,0.0,0,0,36,202302,False
1475,2745,0.0,0,0,181,202302,False
1476,2746,0.0,0,0,441,202302,False
1477,2747,0.0,0,0,371,202302,False
1478,2749,0.0,0,0,348,202302,False
1479,2751,0.0,0,0,149,202302,False
1480,2752,0.0,0,0,412,202302,False
1481,2756,0.0,0,0,113,202302,False
1482,2760,0.0,0,0,398,202302,False
1483,2761,0.0,0,0,344,202302,False
1484,2762,0.0,0,0,102,202302,False
1485,2763,0.0,0,0,300,202302,False
1486,2765,0.0,0,0,430,202302,False
1487,2768,0.0,0,0,538,202302,False
1488,2770,0.0,0,0,425,202302,False
1489,2771,0.0,0,1,535,202302,False
1490,2774,0.0,0,0,589,202302,False
1491,2775,0.0,0,0,300,202302,False
1492,2776,0.0,0,0,384,202302,False
1493,2785,0.0,0,0,231,202302,False
1494,2786,0.0,0,1,53,202302,False
1495,2792,0.0,0,0,156,202302,False
1496,2795,0.0,0,0,386,202302,False
1497,2798,0.0,0,0,1,202302,False
1498,2799,0.0,0,1,337,202302,False
1499,2804,0.0,0,0,55,202302,False
1500,2805,0.0,0,0,446,202302,False
1501,2806,0.0,0,0,151,202302,False
1502,2807,0.0,0,0,275,202302,False
1503,2808,0.0,0,0,504,202302,False
1504,2811,0.0,0,0,371,202302,False
1505,2813,0.0,0,0,151,202302,False
1506,2814,0.0,0,0,401,202302,False
1507,2815,0.0,0,0,391,202302,False
1508,2828,0.0,0,0,311,202302,False
1509,2829,0.0,0,0,124,202302,False
1510,2830,0.0,0,0,371,202302,False
